max_X,max_Y,max_Z,min_X,min_Y,min_Z,mean_X,mean_Y,mean_Z,std_X,std_Y,std_Z,skew_X,skew_Y,skew_Z,qntl_25_X,qntl_25_Y,qntl_25_Z,qntl_50_X,qntl_50_Y,qntl_50_Z,qntl_75_X,qntl_75_Y,qntl_75_Z,range_X,range_Y,range_Z,kurt_X,kurt_Y,kurt_Z,activity
5.09965,4.616021,9.80665,-0.909797,-0.282516,8.418014,0.17844786666666668,0.16743453333333333,9.6056969,1.0363608474565928,1.15760347498444,0.4069033795748117,4.044307644603817,3.6474703530177237,-2.3653118275007246,-0.124498,-0.16160875,9.74799225,-0.10295049999999994,-0.13168099999999994,9.770737,-0.058658,-0.114922,9.782708,6.009447,4.898537,1.388636,18.543170992770452,12.224165413397055,4.369873520991861,0
0.407014,0.0239419999999999,9.80665,-0.320823,-0.244209,9.667787,-0.09864106666666664,-0.13120213333333333,9.771216033333333,0.12584765365366704,0.04805878225438833,0.025418793173125846,2.300675605268425,0.568222742192912,-2.4099222479543267,-0.13646974999999997,-0.143652,9.763555,-0.114922,-0.13168099999999994,9.77792,-0.0969649999999999,-0.120907,9.782708,0.7278370000000001,0.2681509999999999,0.13886299999999885,9.159427691084936,4.0772792525014,8.893641864455647,0
-0.062249,0.244209,9.792285,-0.124498,0.177171,9.739613,-0.09991786666666665,0.22090513333333334,9.768502666666667,0.015642221948906444,0.01638287305175393,0.014528405542563533,0.6042584136435848,-1.2729201085461601,-0.09747658022694015,-0.110133,0.215478,9.758766,-0.1005559999999999,0.225055,9.768343,-0.08858524999999998,0.234632,9.77792,0.062249,0.06703800000000001,0.052671999999999386,0.14367893088893657,1.739647689321092,-0.6648460239588583,0
0.560243,0.086191,9.797073,0.268151,-0.205901,9.725247,0.40094899999999994,-0.02952846666666665,9.752541233333334,0.05288862024200905,0.05452489532487435,0.017967242099660597,0.40149151866276,-0.857828702709121,0.5659571866105009,0.37469224999999995,-0.05147499999999997,9.739613,0.3926489999999999,-0.02154799999999995,9.751583499999999,0.424971,-0.010774,9.76235775,0.2920920000000001,0.292092,0.07182599999999972,2.6813741732937593,3.0024184214002756,0.05178386541547608,0
0.560243,0.086191,9.797073,0.268151,-0.205901,9.725247,0.40094899999999994,-0.027134266666666646,9.753658533333333,0.05318677192232334,0.05400402244528886,0.018901545785598106,0.38755185333463354,-1.0010791932693117,0.4531385966997685,0.3734949999999999,-0.046686999999999895,9.739613,0.402226,-0.019154,9.751583499999999,0.424971,-0.00598525,9.767146,0.2920920000000001,0.292092,0.07182599999999972,2.553169318307306,3.423107319124346,-0.46405186256017483,0
0.560243,0.086191,9.80665,0.268151,-0.205901,9.720459,0.4011086,-0.03000729999999998,9.755095066666666,0.05405308339324634,0.053320360653480586,0.021841485280007324,0.4177942406128296,-0.9465613385140793,0.5038537509831321,0.3734949999999999,-0.046686999999999895,9.739613,0.3950429999999999,-0.02154799999999995,9.753978,0.424971,-0.010774,9.771934,0.2920920000000001,0.292092,0.08619099999999946,2.2739582080714356,3.4790776294641863,-0.237219323875542,0
0.560243,0.086191,9.821015,0.268151,-0.205901,9.720459,0.3967990333333333,-0.026974633333333314,9.757808500000001,0.053524650780147856,0.05147261568324182,0.02449371249194218,0.639146165704694,-1.1239401901530996,0.7319093813389302,0.3734949999999999,-0.04189874999999992,9.74081,0.39025499999999996,-0.02154799999999995,9.753978,0.416591,-0.009577,9.771934,0.2920920000000001,0.292092,0.1005559999999992,2.6716653204176697,4.596610236727461,0.3563520295533653,0
0.560243,0.086191,9.821015,0.268151,-0.205901,9.720459,0.3983951333333333,-0.030805366666666643,9.760043066666666,0.0521883869574735,0.048908020639368735,0.024478655102978374,0.6649517519686986,-1.2499566641625843,0.48979299502771084,0.3734949999999999,-0.0430959999999999,9.745598,0.39025499999999996,-0.02633599999999995,9.756371999999999,0.416591,-0.010774,9.77672275,0.2920920000000001,0.292092,0.1005559999999992,3.1009014623575273,5.524789119470203,0.10758480209538179,0
0.560243,0.086191,9.821015,0.268151,-0.205901,9.720459,0.39121253333333333,-0.030486166666666637,9.760362299999999,0.049109236771980466,0.04853152586478573,0.02429708864516499,0.9502455515199973,-1.2922981981577661,0.4530854066202228,0.3734949999999999,-0.0430959999999999,9.745598,0.38546649999999993,-0.02633599999999995,9.758766,0.411803,-0.010774,9.773131,0.2920920000000001,0.292092,0.1005559999999992,4.884121651066588,5.833879056031703,0.17257148979351067,0
0.560243,0.086191,9.821015,0.268151,-0.205901,9.720459,0.3944048333333333,-0.03335919999999997,9.758925799999998,0.050994318154140926,0.04969065022815208,0.024301939927390256,0.7812490325052195,-1.0792718961051402,0.5234894526390458,0.3734949999999999,-0.0430959999999999,9.74081,0.387861,-0.02873,9.758766,0.415394,-0.010774,9.773131,0.2920920000000001,0.292092,0.1005559999999992,3.7128516559668294,4.769315020645237,0.32112853554555043,0
